"","title","year","length","budget","rating","votes","mpaa","genre"
"7","$windle",2002,93,NA,5.3,200,"R","Action"
"15","'A' gai waak",1983,106,NA,7.1,1259,"PG-13","Action"
"16","'A' gai waak juk jaap",1987,101,NA,7.2,614,"PG-13","Action"
"19","'Crocodile' Dundee II",1988,110,NA,5,7252,"","Action"
"23","'Gator Bait",1974,88,NA,3.5,100,"","Action"
"45","'Sheba, Baby'",1975,90,NA,5.5,91,"","Action"
"63","...All the Marbles",1981,113,NA,5.6,348,"","Action"
"74","...Po prozvishchu 'Zver'",1990,88,NA,4.7,11,"","Action"
"86","...tick...tick...tick...",1970,100,NA,6,145,"","Action"
"93","002 agenti segretissimi",1964,83,NA,3.6,6,"","Action"
"109","10 Magnificent Killers",1977,84,NA,2.6,9,"","Action"
"113","10 Violent Women",1982,95,NA,3.8,31,"","Action"
"118","10 to Midnight",1983,101,NA,5.4,530,"","Action"
"169","13 Dead Men",2003,85,NA,2.2,69,"R","Action"
"186","13th Warrior, The",1999,102,85000000,6.1,14344,"R","Action"
"202","16 December",2002,158,NA,7.3,26,"","Action"
"215","18 Weapons of Kung Fu",1977,89,NA,2,21,"","Action"
"233","1942: A Love Story",1993,157,NA,6.5,210,"","Action"
"236","1958",1980,96,NA,5.9,23,"","Action"
"241","1990: I guerrieri del Bronx",1982,89,NA,3.9,181,"","Action"
"251","2 Fast 2 Furious",2003,107,76000000,5.1,9556,"PG-13","Action"
"252","2 G's & a Key",2000,97,NA,4.4,44,"","Action"
"270","20,000 Leagues Under the Sea",1916,105,200000,6.2,135,"","Action"
"281","2001 Yonggary",1999,99,NA,3.1,241,"PG-13","Action"
"284","2002: The Rape of Eden",1994,90,NA,4,24,"","Action"
"285","2009: Lost Memories",2002,136,NA,6.6,639,"R","Action"
"289","2019 - Dopo la caduta di New York",1983,91,NA,5.3,176,"","Action"
"357","3 Ninjas",1992,98,NA,4,1392,"","Action"
"358","3 Ninjas Kick Back",1994,93,NA,3.5,565,"","Action"
"359","3 Ninjas Knuckle Up",1995,85,NA,2.9,324,"PG-13","Action"
"360","3 Ninjas: High Noon at Mega Mountain",1998,93,NA,2.2,744,"PG","Action"
"369","3 dev adam",1973,81,NA,5.2,36,"","Action"
"372","3-4x juugatsu",1990,96,NA,6.6,761,"","Action"
"385","3000 Miles to Graceland",2001,125,62000000,5.4,7298,"R","Action"
"391","34-y skoryy",1981,83,NA,7.3,8,"","Action"
"399","36 ore all'inferno",1969,93,NA,3.7,7,"","Action"
"407","3:15",1986,86,NA,4.5,94,"","Action"
"441","405",2000,11,NA,6.9,250,"","Action"
"443","42K",2000,90,NA,5.1,25,"","Action"
"448","48 Hrs.",1982,96,NA,6.8,8742,"","Action"
"453","4D Man",1959,85,NA,5.2,192,"","Action"
"460","5 Dark Souls",1996,94,1500,7.3,11,"","Action"
"478","50CC",2000,41,NA,5.9,7,"","Action"
"480","51st State, The",2001,92,28000000,6.1,6752,"R","Action"
"481","52 Pick-Up",1986,110,NA,5.9,609,"","Action"
"499","666 mo gui fu huo",1996,100,NA,5.3,54,"","Action"
"505","6th Day, The",2000,123,82000000,5.9,12064,"PG-13","Action"
"508","7 Lucky Ninja Kids",1989,90,NA,4.8,19,"","Action"
"509","7 Star Grand Mantis",1983,85,NA,3.1,7,"","Action"
"516","7 jin gong",1994,90,NA,5.4,67,"","Action"
"517","7 pra-jan-barn",2002,110,NA,4.8,15,"","Action"
"521","72 Desperate Rebels",1972,93,NA,3.3,8,"","Action"
"523","72 metra",2004,100,1600000,6,147,"","Action"
"531","7th Voyage of Sinbad, The",1958,88,650000,6.9,1224,"","Action"
"535","8 Million Ways to Die",1986,115,NA,4.9,642,"","Action"
"567","92 hak mooi gwai dui hak mooi gwai",1992,100,NA,5.9,32,"","Action"
"569","9413",1998,90,NA,6.3,12,"","Action"
"578","99 mujeres",1969,108,NA,5.6,62,"","Action"
"588","A 008, operazione Sterminio",1965,84,NA,6.1,7,"","Action"
"616","A zori zdes tikhie",1972,188,NA,8.6,137,"","Action"
"627","A.D.3 operazione squalo bianco",1966,82,NA,1.2,5,"","Action"
"648","AVP: Alien Vs. Predator",2004,102,45000000,5.4,14651,"PG-13","Action"
"656","Aakhree Raasta",1986,164,NA,8.2,46,"","Action"
"661","Aan: Men at Work",2004,149,NA,4.8,20,"","Action"
"675","Aashiq",2001,160,NA,3.7,11,"","Action"
"678","Aatish",1994,155,NA,8.6,16,"","Action"
"679","Aau chin",1999,93,NA,7.1,690,"","Action"
"680","Aau chin 2",2001,95,NA,5.9,138,"","Action"
"681","Aau dut",1997,81,NA,7.1,230,"","Action"
"715","Abducted II: The Reunion",1994,92,NA,3.1,64,"","Action"
"720","Abductors, The",1972,91,NA,4,83,"","Action"
